"Sentences","annotation_id","annotator","created_at","id","label","lead_time","updated_at"
"भाइयों और बहनों, हमने दिखाया है कि Renewable Energy के मामले में Developing World का कोई देश भी Lead ले सकता है।",25,"1","2025-01-24T19:17:43.469990Z",41,"[{""start"":0,""end"":6,""text"":""भाइयों"",""labels"":[""NOUN""]},{""start"":10,""end"":15,""text"":""बहनों"",""labels"":[""NOUN""]},{""start"":35,""end"":44,""text"":""Renewable"",""labels"":[""NOUN""]},{""start"":45,""end"":51,""text"":""Energy"",""labels"":[""NOUN""]},{""start"":65,""end"":81,""text"":""Developing World"",""labels"":[""NOUN""]},{""start"":89,""end"":92,""text"":""देश"",""labels"":[""NOUN""]},{""start"":96,""end"":103,""text"":""Lead ले"",""labels"":[""CONJ""]},{""start"":7,""end"":9,""text"":""और"",""labels"":[""CONJ""]},{""start"":17,""end"":21,""text"":""हमने"",""labels"":[""PRON""]},{""start"":22,""end"":28,""text"":""दिखाया"",""labels"":[""VERB""]},{""start"":29,""end"":31,""text"":""है"",""labels"":[""VERB""]},{""start"":104,""end"":108,""text"":""सकता"",""labels"":[""VERB""]},{""start"":109,""end"":112,""text"":""है।"",""labels"":[""CONJ""]},{""start"":32,""end"":34,""text"":""कि"",""labels"":[""CONJ""]},{""start"":82,""end"":84,""text"":""का"",""labels"":[""CONJ""]},{""start"":52,""end"":54,""text"":""के"",""labels"":[""PROPN""]},{""start"":61,""end"":64,""text"":""में"",""labels"":[""PRON_WH""]},{""start"":85,""end"":88,""text"":""कोई"",""labels"":[""CONJ""]},{""start"":93,""end"":95,""text"":""भी"",""labels"":[""CONJ""]}]",94.322,"2025-01-24T19:17:43.469990Z"
"ये Start up, Food Processing से जुड़े हैं, Artificial Intelligence, Internet of things, खेती से जुड़े स्मार्ट उपकरण के निर्माण और रिन्यूएबल एनर्जी से जुड़े हैं।",24,"1","2025-01-24T19:17:35.160494Z",42,"[{""start"":0,""end"":2,""text"":""ये"",""labels"":[""NOUN""]},{""start"":3,""end"":11,""text"":""Start up"",""labels"":[""NOUN""]},{""start"":13,""end"":28,""text"":""Food Processing"",""labels"":[""NOUN""]},{""start"":43,""end"":66,""text"":""Artificial Intelligence"",""labels"":[""NOUN""]},{""start"":68,""end"":86,""text"":""Internet of things"",""labels"":[""NOUN""]},{""start"":88,""end"":92,""text"":""खेती"",""labels"":[""NOUN""]},{""start"":102,""end"":115,""text"":""स्मार्ट उपकरण"",""labels"":[""NOUN""]},{""start"":130,""end"":146,""text"":""रिन्यूएबल एनर्जी"",""labels"":[""CONJ""]},{""start"":29,""end"":31,""text"":""से"",""labels"":[""CONJ""]},{""start"":93,""end"":95,""text"":""से"",""labels"":[""CONJ""]},{""start"":116,""end"":118,""text"":""के"",""labels"":[""CONJ""]},{""start"":127,""end"":129,""text"":""और"",""labels"":[""CONJ""]},{""start"":147,""end"":149,""text"":""से"",""labels"":[""VERB""]},{""start"":32,""end"":41,""text"":""जुड़े हैं"",""labels"":[""VERB""]},{""start"":96,""end"":101,""text"":""जुड़े"",""labels"":[""VERB""]},{""start"":119,""end"":126,""text"":""निर्माण"",""labels"":[""VERB""]},{""start"":150,""end"":160,""text"":""जुड़े हैं।"",""labels"":[""VERB""]}]",90.735,"2025-01-24T19:17:35.160494Z"
"हम अपने Quad partners के साथ भी इंडो-पेसिफिक क्षेत्र में बेहतर और किफायती Covid-19 वैक्सीन की आपूर्ति करने के लिए काम कर रहे हैं।",23,"1","2025-01-24T19:17:31.847453Z",43,"[{""start"":0,""end"":2,""text"":""हम"",""labels"":[""PRON""]},{""start"":3,""end"":7,""text"":""अपने"",""labels"":[""PRON""]},{""start"":8,""end"":12,""text"":""Quad"",""labels"":[""NOUN""]},{""start"":13,""end"":21,""text"":""partners"",""labels"":[""NOUN""]},{""start"":32,""end"":44,""text"":""इंडो-पेसिफिक"",""labels"":[""NOUN""]},{""start"":45,""end"":52,""text"":""क्षेत्र"",""labels"":[""NOUN""]},{""start"":74,""end"":82,""text"":""Covid-19"",""labels"":[""NOUN""]},{""start"":83,""end"":90,""text"":""वैक्सीन"",""labels"":[""CONJ""]},{""start"":22,""end"":24,""text"":""के"",""labels"":[""CONJ""]},{""start"":63,""end"":65,""text"":""और"",""labels"":[""CONJ""]},{""start"":107,""end"":113,""text"":""के लिए"",""labels"":[""VERB""]},{""start"":94,""end"":101,""text"":""आपूर्ति"",""labels"":[""VERB""]},{""start"":102,""end"":106,""text"":""करने"",""labels"":[""VERB""]},{""start"":114,""end"":129,""text"":""काम कर रहे हैं।"",""labels"":[""CONJ""]},{""start"":53,""end"":56,""text"":""में"",""labels"":[""CONJ""]},{""start"":29,""end"":31,""text"":""भी"",""labels"":[""DET""]},{""start"":25,""end"":28,""text"":""साथ"",""labels"":[""CONJ""]},{""start"":57,""end"":62,""text"":""बेहतर"",""labels"":[""ADJ""]},{""start"":66,""end"":73,""text"":""किफायती"",""labels"":[""ADJ""]}]",138.50300000000001,"2025-01-24T19:17:31.847453Z"
"इसलिए हमने गांव के अस्पतालों से लेकर मेडिकल कॉलेज और AIIMS जैसे संस्थानों तक, एक integrated approach के साथ काम शुरु किया है।",22,"1","2025-01-24T19:17:27.831320Z",44,"[{""start"":6,""end"":10,""text"":""हमने"",""labels"":[""NOUN""]},{""start"":11,""end"":15,""text"":""गांव"",""labels"":[""NOUN""]},{""start"":19,""end"":28,""text"":""अस्पतालों"",""labels"":[""NOUN""]},{""start"":37,""end"":49,""text"":""मेडिकल कॉलेज"",""labels"":[""NOUN""]},{""start"":64,""end"":73,""text"":""संस्थानों"",""labels"":[""NOUN""]},{""start"":81,""end"":91,""text"":""integrated"",""labels"":[""NOUN""]},{""start"":92,""end"":100,""text"":""approach"",""labels"":[""NOUN""]},{""start"":108,""end"":111,""text"":""काम"",""labels"":[""NOUN""]},{""start"":53,""end"":58,""text"":""AIIMS"",""labels"":[""CONJ""]},{""start"":50,""end"":52,""text"":""और"",""labels"":[""CONJ""]},{""start"":29,""end"":31,""text"":""से"",""labels"":[""CONJ""]},{""start"":0,""end"":5,""text"":""इसलिए"",""labels"":[""CONJ""]},{""start"":16,""end"":18,""text"":""के"",""labels"":[""VERB""]},{""start"":112,""end"":125,""text"":""शुरु किया है।"",""labels"":[""VERB""]},{""start"":78,""end"":80,""text"":""एक"",""labels"":[""NUM""]},{""start"":74,""end"":76,""text"":""तक"",""labels"":[""DET""]},{""start"":32,""end"":36,""text"":""लेकर"",""labels"":[""VERB""]},{""start"":101,""end"":107,""text"":""के साथ"",""labels"":[""PRON_WH""]}]",103.274,"2025-01-24T19:17:27.831320Z"
"पहले जिन छोटे-छोटे टेस्ट को कराने के लिए शहरों तक पहुंचना पड़ता था, वो टेस्ट अब इन Health and Wellness Centre पर उपलब्ध हो रहे हैं।",21,"1","2025-01-24T19:06:08.566871Z",45,"[{""start"":0,""end"":4,""text"":""पहले"",""labels"":[""NOUN""]},{""start"":9,""end"":18,""text"":""छोटे-छोटे"",""labels"":[""NOUN""]},{""start"":83,""end"":109,""text"":""Health and Wellness Centre"",""labels"":[""NOUN""]},{""start"":71,""end"":76,""text"":""टेस्ट"",""labels"":[""NOUN""]},{""start"":19,""end"":24,""text"":""टेस्ट"",""labels"":[""VERB""]},{""start"":50,""end"":57,""text"":""पहुंचना"",""labels"":[""VERB""]},{""start"":58,""end"":63,""text"":""पड़ता"",""labels"":[""VERB""]},{""start"":64,""end"":66,""text"":""था"",""labels"":[""VERB""]},{""start"":120,""end"":122,""text"":""हो"",""labels"":[""VERB""]},{""start"":123,""end"":126,""text"":""रहे"",""labels"":[""VERB""]},{""start"":127,""end"":130,""text"":""हैं"",""labels"":[""VERB""]},{""start"":25,""end"":46,""text"":""को कराने के लिए शहरों"",""labels"":[""PRON""]},{""start"":113,""end"":119,""text"":""उपलब्ध"",""labels"":[""PRON""]},{""start"":110,""end"":119,""text"":""पर उपलब्ध"",""labels"":[""PROPN""]},{""start"":5,""end"":8,""text"":""जिन"",""labels"":[""CONJ""]},{""start"":77,""end"":82,""text"":""अब इन"",""labels"":[""CONJ""]},{""start"":66,""end"":70,""text"":"", वो"",""labels"":[""CONJ""]}]",120.98,"2025-01-24T19:19:38.534786Z"
"आज विश्‍व में Peace keeping Force United Nations से जुड़ा हुआ कोई भी हिन्‍दुस्‍तानी गर्व कर सकता है।",27,"1","2025-01-24T19:21:13.009452Z",46,"[{""start"":3,""end"":9,""text"":""विश्‍व"",""labels"":[""NOUN""]},{""start"":14,""end"":19,""text"":""Peace"",""labels"":[""NOUN""]},{""start"":20,""end"":27,""text"":""keeping"",""labels"":[""NOUN""]},{""start"":28,""end"":48,""text"":""Force United Nations"",""labels"":[""NOUN""]},{""start"":69,""end"":83,""text"":""हिन्‍दुस्‍तानी"",""labels"":[""CONJ""]},{""start"":10,""end"":13,""text"":""में"",""labels"":[""CONJ""]},{""start"":49,""end"":57,""text"":""से जुड़ा"",""labels"":[""CONJ""]},{""start"":62,""end"":68,""text"":""कोई भी"",""labels"":[""VERB""]},{""start"":89,""end"":99,""text"":""कर सकता है"",""labels"":[""NOUN""]},{""start"":84,""end"":88,""text"":""गर्व"",""labels"":[""NOUN""]},{""start"":0,""end"":2,""text"":""आज"",""labels"":[""NOUN""]},{""start"":58,""end"":61,""text"":""हुआ"",""labels"":[""VERB""]}]",92.06,"2025-01-24T19:21:13.009452Z"
"भाइयो और बहनों, भारत उत्‍तर-पूर्व के राज्‍यों को South-East Asia को Gateway मानता है।",28,"1","2025-01-24T19:21:49.506153Z",47,"[{""start"":0,""end"":5,""text"":""भाइयो"",""labels"":[""NOUN""]},{""start"":9,""end"":14,""text"":""बहनों"",""labels"":[""NOUN""]},{""start"":16,""end"":20,""text"":""भारत"",""labels"":[""NOUN""]},{""start"":21,""end"":27,""text"":""उत्‍तर"",""labels"":[""NOUN""]},{""start"":27,""end"":33,""text"":""-पूर्व"",""labels"":[""NOUN""]},{""start"":37,""end"":45,""text"":""राज्‍यों"",""labels"":[""NOUN""]},{""start"":49,""end"":64,""text"":""South-East Asia"",""labels"":[""NOUN""]},{""start"":68,""end"":75,""text"":""Gateway"",""labels"":[""VERB""]},{""start"":76,""end"":85,""text"":""मानता है।"",""labels"":[""CONJ""]},{""start"":6,""end"":8,""text"":""और"",""labels"":[""CONJ""]},{""start"":34,""end"":36,""text"":""के"",""labels"":[""CONJ""]},{""start"":46,""end"":48,""text"":""को"",""labels"":[""CONJ""]},{""start"":65,""end"":67,""text"":""को"",""labels"":[""CONJ""]}]",35.005,"2025-01-24T19:21:49.506153Z"
"हमने Sittwe Port तदा Paletwa inland water terminalपर भी काम पूरा करके Kaladan project में निरंतर और प्रत्‍यक्ष प्रगति की है।",29,"1","2025-01-24T19:22:40.488593Z",48,"[{""start"":0,""end"":4,""text"":""हमने"",""labels"":[""NOUN""]},{""start"":5,""end"":16,""text"":""Sittwe Port"",""labels"":[""NOUN""]},{""start"":17,""end"":20,""text"":""तदा"",""labels"":[""NOUN""]},{""start"":21,""end"":35,""text"":""Paletwa inland"",""labels"":[""NOUN""]},{""start"":36,""end"":52,""text"":""water terminalपर"",""labels"":[""NOUN""]},{""start"":70,""end"":85,""text"":""Kaladan project"",""labels"":[""ADJ""]},{""start"":90,""end"":96,""text"":""निरंतर"",""labels"":[""ADJ""]},{""start"":100,""end"":110,""text"":""प्रत्‍यक्ष"",""labels"":[""ADJ""]},{""start"":111,""end"":117,""text"":""प्रगति"",""labels"":[""VERB""]},{""start"":118,""end"":124,""text"":""की है।"",""labels"":[""CONJ""]},{""start"":97,""end"":99,""text"":""और"",""labels"":[""CONJ""]},{""start"":86,""end"":89,""text"":""में"",""labels"":[""VERB""]},{""start"":56,""end"":69,""text"":""काम पूरा करके"",""labels"":[""CONJ""]},{""start"":53,""end"":55,""text"":""भी"",""labels"":[""CONJ""]}]",49.532,"2025-01-24T19:22:40.488593Z"
"मध्य प्रदेश के सिंगरौली की शिक्षिका, उषा दुबे जी ने तो scooty को ही mobile library में बदल दिया।",30,"1","2025-01-24T19:23:44.718216Z",49,"[{""start"":0,""end"":11,""text"":""मध्य प्रदेश"",""labels"":[""NOUN""]},{""start"":15,""end"":23,""text"":""सिंगरौली"",""labels"":[""NOUN""]},{""start"":27,""end"":35,""text"":""शिक्षिका"",""labels"":[""NOUN""]},{""start"":37,""end"":40,""text"":""उषा"",""labels"":[""NOUN""]},{""start"":41,""end"":45,""text"":""दुबे"",""labels"":[""NOUN""]},{""start"":55,""end"":61,""text"":""scooty"",""labels"":[""NOUN""]},{""start"":68,""end"":82,""text"":""mobile library"",""labels"":[""VERB""]},{""start"":87,""end"":95,""text"":""बदल दिया"",""labels"":[""CONJ""]},{""start"":62,""end"":64,""text"":""को"",""labels"":[""CONJ""]},{""start"":46,""end"":54,""text"":""जी ने तो"",""labels"":[""CONJ""]},{""start"":24,""end"":26,""text"":""की"",""labels"":[""CONJ""]},{""start"":12,""end"":14,""text"":""के"",""labels"":[""CONJ""]},{""start"":83,""end"":86,""text"":""में"",""labels"":[""CONJ""]},{""start"":65,""end"":67,""text"":""ही"",""labels"":[""CONJ""]},{""start"":87,""end"":95,""text"":""बदल दिया"",""labels"":[""VERB""]}]",61.849,"2025-01-24T19:23:44.718216Z"
"इस साल अगस्त में अरुणाचल प्रदेश के निरजुली के Rayo Village में एक Self Help Library बनाई गई है।",31,"1","2025-01-24T19:25:24.645456Z",50,"[{""start"":7,""end"":12,""text"":""अगस्त"",""labels"":[""NOUN""]},{""start"":17,""end"":31,""text"":""अरुणाचल प्रदेश"",""labels"":[""NOUN""]},{""start"":35,""end"":42,""text"":""निरजुली"",""labels"":[""NOUN""]},{""start"":46,""end"":58,""text"":""Rayo Village"",""labels"":[""NOUN""]},{""start"":66,""end"":83,""text"":""Self Help Library"",""labels"":[""VERB""]},{""start"":84,""end"":91,""text"":""बनाई गई"",""labels"":[""VERB""]},{""start"":92,""end"":95,""text"":""है।"",""labels"":[""VERB""]},{""start"":0,""end"":6,""text"":""इस साल"",""labels"":[""NOUN""]},{""start"":13,""end"":16,""text"":""में"",""labels"":[""CONJ""]},{""start"":32,""end"":34,""text"":""के"",""labels"":[""CONJ""]},{""start"":43,""end"":45,""text"":""के"",""labels"":[""CONJ""]},{""start"":59,""end"":62,""text"":""में"",""labels"":[""CONJ""]},{""start"":63,""end"":65,""text"":""एक"",""labels"":[""NUM""]}]",96.439,"2025-01-24T19:25:24.645456Z"
